Department,Millesime,Indicateur,Valeur
10,1968,PopulationLegale,270325
10,1975,PopulationLegale,284823
10,1982,PopulationLegale,289300
10,1990,PopulationLegale,289207
10,1999,PopulationLegale,292131
10,2007,PopulationLegale,300840
10,2008,Deces,2925
10,2008,Naissances,3721
10,2009,Deces,2914
10,2009,Naissances,3745
10,2010,Deces,2902
10,2010,Naissances,3722
10,2011,Deces,2877
10,2011,Naissances,3635
10,2012,Actifs1564,137306
10,2012,ArriveesHorsDep,9056
10,2012,Chomeurs1564,19651
10,2012,Deces,3005
10,2012,Logements,156857
10,2012,LogementsVacants,14368
10,2012,Naissances,3587
10,2012,Pop65Plus,57665
10,2012,PopUnAnPlus,301752
10,2012,Population,305606
10,2012,PopulationLegale,305606
10,2012,RPMaisons,90425
10,2012,RPProprietaires,80368
10,2012,ResidencesPrincipales,135644
10,2013,Deces,3066
10,2013,Naissances,3436
10,2014,Deces,2973
10,2014,Naissances,3377
10,2015,Deces,3140
10,2015,Naissances,3454
10,2016,Deces,3195
10,2016,Naissances,3341
10,2017,Actifs1564,137774
10,2017,ArriveesHorsDep,8762
10,2017,Chomeurs1564,23243
10,2017,Deces,3176
10,2017,Logements,164453
10,2017,LogementsVacants,15682
10,2017,Naissances,3129
10,2017,Pop65Plus,64926
10,2017,PopUnAnPlus,306694
10,2017,Population,310020
10,2017,PopulationLegale,310020
10,2017,RPMaisons,93355
10,2017,RPProprietaires,81673
10,2017,ResidencesPrincipales,141267
10,2018,Deces,3218
10,2018,Naissances,3154
10,2019,Deces,3275
10,2019,Naissances,3107
10,2020,Deces,3492
10,2020,Naissances,3088
10,2021,Deces,3452
10,2021,Naissances,3005
10,2022,Deces,3397
10,2022,Naissances,3049
10,2023,Actifs1564,137983
10,2023,ArriveesHorsDep,8871
10,2023,Chomeurs1564,18695
10,2023,Deces,3381
10,2023,Logements,169440
10,2023,LogementsVacants,15448
10,2023,Naissances,2853
10,2023,NiveauVieMedian,24130
10,2023,Pop65Plus,71201
10,2023,PopUnAnPlus,307460
10,2023,Population,310447
10,2023,PopulationLegale,310447
10,2023,RPMaisons,96028
10,2023,RPProprietaires,84066
10,2023,RPProprietaires65Plus,33320
10,2023,RPTotalAge,145045
10,2023,ResidencesPrincipales,145045
10,2023,TauxPauvrete,18
10,2024,Deces,3431
10,2024,Naissances,2594
10,2025,Deces,3396
10,2025,Naissances,2599
11,1968,PopulationLegale,278323
11,1975,PopulationLegale,272366
11,1982,PopulationLegale,280686
11,1990,PopulationLegale,298712
11,1999,PopulationLegale,309770
11,2007,PopulationLegale,345779
11,2008,Deces,3727
11,2008,Naissances,3778
11,2009,Deces,3818
11,2009,Naissances,3797
11,2010,Deces,3887
11,2010,Naissances,3770
11,2011,Deces,3866
11,2011,Naissances,3789
11,2012,Actifs1564,153407
11,2012,ArriveesHorsDep,16312
11,2012,Chomeurs1564,26513
11,2012,Deces,4173
11,2012,Logements,246735
11,2012,LogementsVacants,20502
11,2012,Naissances,3669
11,2012,Pop65Plus,81493
11,2012,PopUnAnPlus,358293
11,2012,Population,362339
11,2012,PopulationLegale,362339
11,2012,RPMaisons,122873
11,2012,RPProprietaires,102693
11,2012,ResidencesPrincipales,162615
11,2013,Deces,4017
11,2013,Naissances,3618
11,2014,Deces,4016
11,2014,Naissances,3516
11,2015,Deces,4184
11,2015,Naissances,3531
11,2016,Deces,4401
11,2016,Naissances,3385
11,2017,Actifs1564,155399
11,2017,ArriveesHorsDep,14121
11,2017,Chomeurs1564,28634
11,2017,Deces,4381
11,2017,Logements,261180
11,2017,LogementsVacants,23016
11,2017,Naissances,3313
11,2017,Pop65Plus,93269
11,2017,PopUnAnPlus,366817
11,2017,Population,370260
11,2017,PopulationLegale,370260
11,2017,RPMaisons,128783
11,2017,RPProprietaires,107539
11,2017,ResidencesPrincipales,171947
11,2018,Deces,4546
11,2018,Naissances,3228
11,2019,Deces,4331
11,2019,Naissances,3205
11,2020,Deces,4655
11,2020,Naissances,3237
11,2021,Deces,4883
11,2021,Naissances,3246
11,2022,Deces,4947
11,2022,Naissances,3187
11,2023,Actifs1564,158823
11,2023,ArriveesHorsDep,14086
11,2023,Chomeurs1564,23296
11,2023,Deces,4815
11,2023,Logements,273100
11,2023,LogementsVacants,21192
11,2023,Naissances,3033
11,2023,NiveauVieMedian,23060
11,2023,Pop65Plus,105166
11,2023,PopUnAnPlus,376607
11,2023,Population,379648
11,2023,PopulationLegale,379648
11,2023,RPMaisons,136056
11,2023,RPProprietaires,114325
11,2023,RPProprietaires65Plus,51999
11,2023,RPTotalAge,183141
11,2023,ResidencesPrincipales,183141
11,2023,TauxPauvrete,21
11,2024,Deces,4910
11,2024,Naissances,2794
11,2025,Deces,5055
11,2025,Naissances,2688
12,1968,PopulationLegale,281568
12,1975,PopulationLegale,278306
12,1982,PopulationLegale,278654
12,1990,PopulationLegale,270141
12,1999,PopulationLegale,263808
12,2007,PopulationLegale,274425
12,2008,Deces,3270
12,2008,Naissances,2748
12,2009,Deces,3193
12,2009,Naissances,2640
12,2010,Deces,3339
12,2010,Naissances,2694
12,2011,Deces,3264
12,2011,Naissances,2682
12,2012,Actifs1564,121772
12,2012,ArriveesHorsDep,9016
12,2012,Chomeurs1564,11194
12,2012,Deces,3455
12,2012,Logements,173956
12,2012,LogementsVacants,17876
12,2012,Naissances,2615
12,2012,Pop65Plus,68264
12,2012,PopUnAnPlus,273436
12,2012,Population,276229
12,2012,PopulationLegale,276229
12,2012,RPMaisons,89750
12,2012,RPProprietaires,87278
12,2012,ResidencesPrincipales,125545
12,2013,Deces,3443
12,2013,Naissances,2475
12,2014,Deces,3267
12,2014,Naissances,2555
