"ANNEE";"MOIS";"TYPE_LGT";"NAT_SERIES";"LOG_AUT";"LOG_COM";"SDP_AUT";"SDP_COM"
"2023";"10";"Tous Logements";"Brute";32903;24054;2551407;2007869
"2023";"10";"Tous Logements";"CVS-CJO";30943;22205;2399422;1853527
"2023";"09";"Collectif";"Brute";14910;11803;975103;764626
"2023";"09";"Collectif";"CVS-CJO";13433;11228;878508;727376
"2023";"09";"Individuel groupe";"Brute";3779;3191;333954;283078
"2023";"09";"Individuel groupe";"CVS-CJO";3669;2812;324233;249456
"2023";"09";"Individuel pur";"Brute";7830;8436;928271;1005699
"2023";"09";"Individuel pur";"CVS-CJO";7217;7085;855598;844639
"2023";"09";"Residence";"Brute";3435;2610;157300;125500
"2023";"09";"Residence";"CVS-CJO";2948;2765;134999;132953
"2023";"09";"Tous Logements";"Brute";29954;26040;2394628;2178903
"2023";"09";"Tous Logements";"CVS-CJO";27267;23890;2179820;1999001
"2023";"08";"Collectif";"Brute";12846;4567;812327;296710
"2023";"08";"Collectif";"CVS-CJO";15876;9038;1003932;587183
"2023";"08";"Individuel groupe";"Brute";3104;1328;272473;109349
"2023";"08";"Individuel groupe";"CVS-CJO";3714;2777;326020;228661
"2023";"08";"Individuel pur";"Brute";7101;3433;833955;407555
"2023";"08";"Individuel pur";"CVS-CJO";7604;7524;893028;893226
"2023";"08";"Residence";"Brute";3537;138;134000;8100
"2023";"08";"Residence";"CVS-CJO";4280;1395;162149;81880
"2023";"08";"Tous Logements";"Brute";26588;9466;2052755;821714
"2023";"08";"Tous Logements";"CVS-CJO";31474;20734;2429984;1799854
"2023";"07";"Collectif";"Brute";19109;11819;1248168;743286
"2023";"07";"Collectif";"CVS-CJO";14383;11723;939474;737249
"2023";"07";"Individuel groupe";"Brute";3972;2633;337081;222819
"2023";"07";"Individuel groupe";"CVS-CJO";3708;2700;314677;228489
"2023";"07";"Individuel pur";"Brute";8201;7689;955265;905965
"2023";"07";"Individuel pur";"CVS-CJO";7868;7734;916477;911267
"2023";"07";"Residence";"Brute";5734;2377;258900;99700
"2023";"07";"Residence";"CVS-CJO";3958;2173;178710;91144
"2023";"07";"Tous Logements";"Brute";37016;24518;2799414;1971770
"2023";"07";"Tous Logements";"CVS-CJO";29917;24330;2262537;1956651
"2023";"06";"Collectif";"Brute";19528;11538;1278516;745140
"2023";"06";"Collectif";"CVS-CJO";17781;10594;1164138;684175
"2023";"06";"Individuel groupe";"Brute";4003;3039;358999;270706
"2023";"06";"Individuel groupe";"CVS-CJO";3500;2715;313889;241845
"2023";"06";"Individuel pur";"Brute";8829;8770;1050538;1040718
"2023";"06";"Individuel pur";"CVS-CJO";8151;7905;969865;938070
"2023";"06";"Residence";"Brute";4122;4169;172700;193900
"2023";"06";"Residence";"CVS-CJO";3694;3748;154768;174319
"2023";"06";"Tous Logements";"Brute";36482;27516;2860753;2250464
