Date,Department,Type,PrixM2Median,PrixMedian,NbVentes
2015-10-01,05,Appartement,2088.0,85000.0,464
2016-01-01,05,Appartement,1948.0,90000.0,320
2016-04-01,05,Appartement,2096.0,100000.0,357
2016-07-01,05,Appartement,2019.0,90000.0,409
2016-10-01,05,Appartement,2111.0,90000.0,477
2017-01-01,05,Appartement,2000.0,87200.0,396
2017-04-01,05,Appartement,2000.0,90000.0,441
2017-07-01,05,Appartement,2112.0,92000.0,420
2017-10-01,05,Appartement,2082.0,80023.0,500
2018-01-01,05,Appartement,2018.0,82000.0,393
2018-04-01,05,Appartement,1972.0,90000.0,493
2018-07-01,05,Appartement,2083.0,92380.0,458
2018-10-01,05,Appartement,2121.0,85000.0,491
2019-01-01,05,Appartement,2073.0,89110.0,445
2019-04-01,05,Appartement,2133.0,93210.0,524
2019-07-01,05,Appartement,2083.0,90000.0,549
2019-10-01,05,Appartement,2159.0,85000.0,651
2020-01-01,05,Appartement,2071.0,85000.0,447
2020-04-01,05,Appartement,2202.0,100000.0,445
2020-07-01,05,Appartement,2138.0,90000.0,483
2020-10-01,05,Appartement,2241.0,85500.0,759
2014-01-01,05,Ensemble,2185.0,105000.0,505
2014-04-01,05,Ensemble,2178.0,101000.0,448
2014-07-01,05,Ensemble,2155.0,115000.0,555
2014-10-01,05,Ensemble,2143.0,105000.0,569
2015-01-01,05,Ensemble,2090.0,116500.0,446
2015-04-01,05,Ensemble,2193.0,120000.0,559
2015-07-01,05,Ensemble,2160.0,120000.0,593
2015-10-01,05,Ensemble,2095.0,110000.0,662
2016-01-01,05,Ensemble,1956.0,104050.0,452
2016-04-01,05,Ensemble,2135.0,120000.0,520
2016-07-01,05,Ensemble,2111.0,110425.0,588
2016-10-01,05,Ensemble,2146.0,110000.0,684
2017-01-01,05,Ensemble,2047.0,110000.0,572
2017-04-01,05,Ensemble,2041.0,114000.0,635
2017-07-01,05,Ensemble,2157.0,120000.0,641
2017-10-01,05,Ensemble,2100.0,101485.0,720
2018-01-01,05,Ensemble,2031.0,100000.0,598
