Date,Region,Department,Type,Permis,MisesEnChantier,SurfacePermis,SurfaceChantiers
2004-11-01,France,France,Maison Individuelle Groupée,5492,4447,505781,416693
2004-11-01,France,France,Maison Individuelle Pure,17023,16146,2148669,2062826
2004-12-01,France,France,Logement Collectif,19738,14193,1340930,940454
2004-12-01,France,France,Logement en Résidence,2210,1626,104405,73666
2004-12-01,France,France,Maison Individuelle Groupée,5033,3843,475107,366184
2004-12-01,France,France,Maison Individuelle Pure,16727,16056,2114522,2038978
2005-01-01,France,France,Logement Collectif,19366,15763,1315132,1035930
2005-01-01,France,France,Logement en Résidence,2257,1689,106199,63696
2005-01-01,France,France,Maison Individuelle Groupée,5883,4618,547200,429366
2005-01-01,France,France,Maison Individuelle Pure,17899,16773,2274269,2119214
2005-02-01,France,France,Logement Collectif,17976,15076,1205794,1016255
2005-02-01,France,France,Logement en Résidence,1345,1264,66599,48492
2005-02-01,France,France,Maison Individuelle Groupée,5526,4444,508847,400972
2005-02-01,France,France,Maison Individuelle Pure,17493,15171,2226281,1914451
2005-03-01,France,France,Logement Collectif,18681,15194,1235851,1030437
2005-03-01,France,France,Logement en Résidence,1942,1794,107610,80166
2005-03-01,France,France,Maison Individuelle Groupée,5112,4601,486764,431482
2005-03-01,France,France,Maison Individuelle Pure,17065,15871,2185643,2036828
2005-04-01,France,France,Logement Collectif,19340,14152,1324371,956086
2005-04-01,France,France,Logement en Résidence,2410,1507,114778,78833
2005-04-01,France,France,Maison Individuelle Groupée,5254,4670,495895,434659
2005-04-01,France,France,Maison Individuelle Pure,17818,16324,2286210,2090534
2005-05-01,France,France,Logement Collectif,17591,18673,1180332,1221970
2005-05-01,France,France,Logement en Résidence,1472,1101,81414,40804
2005-05-01,France,France,Maison Individuelle Groupée,5434,4503,524962,418828
2005-05-01,France,France,Maison Individuelle Pure,17344,16727,2206213,2145462
2005-06-01,France,France,Logement Collectif,23296,15069,1550430,1035070
2005-06-01,France,France,Logement en Résidence,1946,2036,91874,91925
2005-06-01,France,France,Maison Individuelle Groupée,6074,4571,582400,432022
2005-06-01,France,France,Maison Individuelle Pure,17927,16184,2291417,2081514
2005-07-01,France,France,Logement Collectif,19439,14233,1301258,946780
2005-07-01,France,France,Logement en Résidence,2798,2204,131222,105045
2005-07-01,France,France,Maison Individuelle Groupée,6022,4658,567033,438671
2005-07-01,France,France,Maison Individuelle Pure,17959,16370,2274082,2087970
2005-08-01,France,France,Logement Collectif,20844,16505,1392230,1052531
2005-08-01,France,France,Logement en Résidence,2212,1839,104953,86735
2005-08-01,France,France,Maison Individuelle Groupée,5453,4909,524389,449232
2005-08-01,France,France,Maison Individuelle Pure,17457,16730,2257040,2133326
2005-09-01,France,France,Logement Collectif,21116,17677,1421662,1199344
2005-09-01,France,France,Logement en Résidence,2357,1511,118500,69105
2005-09-01,France,France,Maison Individuelle Groupée,5789,4919,535150,460777
2005-09-01,France,France,Maison Individuelle Pure,17857,16503,2291732,2117307
2005-10-01,France,France,Logement Collectif,19430,15303,1303869,1045475
2005-10-01,France,France,Logement en Résidence,2066,1926,100159,74090
2005-10-01,France,France,Maison Individuelle Groupée,6132,4713,592884,449558
2005-10-01,France,France,Maison Individuelle Pure,17418,16064,2230234,2062374
2005-11-01,France,France,Logement Collectif,21368,14678,1449005,1010688
2005-11-01,France,France,Logement en Résidence,2151,1684,106882,76566
2005-11-01,France,France,Maison Individuelle Groupée,5782,4863,552108,454155
2005-11-01,France,France,Maison Individuelle Pure,19154,16897,2432814,2160881
2005-12-01,France,France,Logement Collectif,26358,17929,1734731,1213774
2005-12-01,France,France,Logement en Résidence,2125,1617,92179,76470
2005-12-01,France,France,Maison Individuelle Groupée,6094,4639,561754,434688
2005-12-01,France,France,Maison Individuelle Pure,17982,17562,2305808,2217685
2006-01-01,France,France,Logement Collectif,22288,16884,1502032,1116525
2006-01-01,France,France,Logement en Résidence,2505,1749,119809,83917
2006-01-01,France,France,Maison Individuelle Groupée,6100,4201,569943,400913
2006-01-01,France,France,Maison Individuelle Pure,18403,16950,2365177,2159118
2006-02-01,France,France,Logement Collectif,23513,16986,1588568,1144947
2006-02-01,France,France,Logement en Résidence,2721,2172,151294,85501
2006-02-01,France,France,Maison Individuelle Groupée,5965,4723,570128,454248
2006-02-01,France,France,Maison Individuelle Pure,18122,16534,2329593,2096596
2006-03-01,France,France,Logement Collectif,24910,18236,1652206,1233556
2006-03-01,France,France,Logement en Résidence,1495,1448,74566,69603
2006-03-01,France,France,Maison Individuelle Groupée,5579,4557,530130,431710
2006-03-01,France,France,Maison Individuelle Pure,18688,16916,2404227,2167341
2006-04-01,France,France,Logement Collectif,24379,18114,1655559,1190559
2006-04-01,France,France,Logement en Résidence,3025,1836,124995,65484
2006-04-01,France,France,Maison Individuelle Groupée,6585,5150,600529,492579
2006-04-01,France,France,Maison Individuelle Pure,18408,17323,2389076,2239100
2006-05-01,France,France,Logement Collectif,21992,18340,1458591,1237763
2006-05-01,France,France,Logement en Résidence,3008,2275,138486,98358
2006-05-01,France,France,Maison Individuelle Groupée,6614,5595,623173,526871
2006-05-01,France,France,Maison Individuelle Pure,18268,17230,2351296,2232183
2006-06-01,France,France,Logement Collectif,25018,18770,1663702,1234033
2006-06-01,France,France,Logement en Résidence,2879,1455,146815,64657
2006-06-01,France,France,Maison Individuelle Groupée,6276,5285,576871,488721
2006-06-01,France,France,Maison Individuelle Pure,18428,17493,2371044,2257466
2006-07-01,France,France,Logement Collectif,22972,16286,1544459,1062366
2006-07-01,France,France,Logement en Résidence,2543,1709,126226,75963
2006-07-01,France,France,Maison Individuelle Groupée,6137,4223,580663,401598
2006-07-01,France,France,Maison Individuelle Pure,18047,16656,2308550,2140434
2006-08-01,France,France,Logement Collectif,22326,20338,1545806,1373777
2006-08-01,France,France,Logement en Résidence,3632,1522,170823,66410
2006-08-01,France,France,Maison Individuelle Groupée,6284,6118,597018,602361
2006-08-01,France,France,Maison Individuelle Pure,17406,17033,2230081,2184155
2006-09-01,France,France,Logement Collectif,19705,17279,1348175,1174754
2006-09-01,France,France,Logement en Résidence,2148,2125,103682,97821
2006-09-01,France,France,Maison Individuelle Groupée,6314,4356,596192,398902
2006-09-01,France,France,Maison Individuelle Pure,17941,16488,2307428,2142168
2006-10-01,France,France,Logement Collectif,23331,18041,1597892,1212936
2006-10-01,France,France,Logement en Résidence,2637,1204,131985,58542
2006-10-01,France,France,Maison Individuelle Groupée,6033,4523,551044,418555
2006-10-01,France,France,Maison Individuelle Pure,18371,16422,2359707,2108626
2006-11-01,France,France,Logement Collectif,25503,17201,1725383,1145804
2006-11-01,France,France,Logement en Résidence,1891,2823,93913,126816
2006-11-01,France,France,Maison Individuelle Groupée,7687,4813,711887,453929
2006-11-01,France,France,Maison Individuelle Pure,17626,16848,2250642,2160322
2006-12-01,France,France,Logement Collectif,24570,16616,1656054,1112585
2006-12-01,France,France,Logement en Résidence,2852,1197,142016,53166
2006-12-01,France,France,Maison Individuelle Groupée,7161,4700,671320,444167
2006-12-01,France,France,Maison Individuelle Pure,16833,17013,2161018,2173357
2007-01-01,France,France,Logement Collectif,22167,17584,1504675,1169763
2007-01-01,France,France,Logement en Résidence,1877,1874,96227,91351
2007-01-01,France,France,Maison Individuelle Groupée,6263,4668,582572,447776
2007-01-01,France,France,Maison Individuelle Pure,16515,16554,2102275,2121762
2007-02-01,France,France,Logement Collectif,23731,17691,1638657,1182478
2007-02-01,France,France,Logement en Résidence,2830,2117,176408,102995
2007-02-01,France,France,Maison Individuelle Groupée,6472,4548,590614,416299
2007-02-01,France,France,Maison Individuelle Pure,17670,16326,2266802,2087527
2007-03-01,France,France,Logement Collectif,24390,17389,1658453,1199347
2007-03-01,France,France,Logement en Résidence,3075,2163,182111,86297
2007-03-01,France,France,Maison Individuelle Groupée,6704,4774,615599,451323
2007-03-01,France,France,Maison Individuelle Pure,18397,16281,2370816,2093654
2007-04-01,France,France,Logement Collectif,21917,18203,1467849,1229810
2007-04-01,France,France,Logement en Résidence,2216,1644,117450,62292
2007-04-01,France,France,Maison Individuelle Groupée,6448,4849,595370,457673
2007-04-01,France,France,Maison Individuelle Pure,17215,16464,2205049,2124910
2007-05-01,France,France,Logement Collectif,22610,18991,1559163,1275764
2007-05-01,France,France,Logement en Résidence,3000,2030,168587,88656
2007-05-01,France,France,Maison Individuelle Groupée,6112,5002,568708,468945
2007-05-01,France,France,Maison Individuelle Pure,18404,16625,2362752,2152198
2007-06-01,France,France,Logement Collectif,23639,18246,1604026,1230996
2007-06-01,France,France,Logement en Résidence,1926,1867,88915,84905
2007-06-01,France,France,Maison Individuelle Groupée,5340,4797,498724,462866
2007-06-01,France,France,Maison Individuelle Pure,18006,16566,2309873,2169379
2007-07-01,France,France,Logement Collectif,21611,20418,1468338,1354239
2007-07-01,France,France,Logement en Résidence,2263,2191,121940,93026
2007-07-01,France,France,Maison Individuelle Groupée,6040,4745,551953,463389
