Date,Department,Type,PrixM2Median,PrixMedian,NbVentes
2025-04-01,02,Maison,1221.0,110000.0,1086
2025-07-01,02,Maison,1273.0,119000.0,1223
2025-10-01,02,Maison,1200.0,110000.0,1158
2014-01-01,03,Appartement,1008.0,54500.0,170
2014-04-01,03,Appartement,1000.0,56875.0,204
2014-07-01,03,Appartement,1011.0,55750.0,170
2014-10-01,03,Appartement,1079.0,60000.0,182
2015-01-01,03,Appartement,982.0,55000.0,170
2015-04-01,03,Appartement,1000.0,57000.0,189
2015-07-01,03,Appartement,976.0,53000.0,223
2015-10-01,03,Appartement,950.0,55000.0,215
2016-01-01,03,Appartement,1000.0,60000.0,195
2016-04-01,03,Appartement,923.0,50200.0,219
2016-07-01,03,Appartement,959.0,53730.0,230
2016-10-01,03,Appartement,997.0,55000.0,200
2017-01-01,03,Appartement,1000.0,54000.0,211
2017-04-01,03,Appartement,900.0,53000.0,239
2017-07-01,03,Appartement,961.0,55000.0,253
2017-10-01,03,Appartement,911.0,49000.0,243
2018-01-01,03,Appartement,950.0,52000.0,189
2018-04-01,03,Appartement,966.0,56500.0,228
2018-07-01,03,Appartement,953.0,51750.0,204
2018-10-01,03,Appartement,1131.0,61000.0,78
2019-01-01,03,Appartement,990.0,48500.0,245
2019-04-01,03,Appartement,1005.0,54000.0,285
2019-07-01,03,Appartement,1037.0,57000.0,263
2019-10-01,03,Appartement,1051.0,55000.0,303
2020-01-01,03,Appartement,1040.0,55000.0,284
2020-04-01,03,Appartement,1000.0,52500.0,268
2020-07-01,03,Appartement,1077.0,57800.0,268
2020-10-01,03,Appartement,1075.0,58000.0,377
2021-01-01,03,Appartement,1060.0,56850.0,322
2021-04-01,03,Appartement,1056.0,59000.0,383
2021-07-01,03,Appartement,1197.0,59000.0,335
2021-10-01,03,Appartement,1206.0,66120.0,372
2022-01-01,03,Appartement,1178.0,62410.0,319
2022-04-01,03,Appartement,1230.0,67300.0,361
2022-07-01,03,Appartement,1250.0,65000.0,349
2022-10-01,03,Appartement,1335.0,68475.0,362
2023-01-01,03,Appartement,1228.0,68750.0,302
2023-04-01,03,Appartement,1245.0,67495.0,312
2023-07-01,03,Appartement,1286.0,62000.0,297
2023-10-01,03,Appartement,1267.0,67000.0,317
2024-01-01,03,Appartement,1165.0,65500.0,244
2024-04-01,03,Appartement,1159.0,62550.0,310
2024-07-01,03,Appartement,1301.0,69700.0,284
2024-10-01,03,Appartement,1301.0,65500.0,292
2025-01-01,03,Appartement,1290.0,71442.0,283
2025-04-01,03,Appartement,1219.0,69035.0,310
2025-07-01,03,Appartement,1308.0,67000.0,315
2025-10-01,03,Appartement,1259.0,65308.0,292
2014-01-01,03,Ensemble,1000.0,73200.0,582
2014-04-01,03,Ensemble,988.0,72000.0,700
2014-07-01,03,Ensemble,1000.0,73765.0,712
2014-10-01,03,Ensemble,1016.0,75000.0,714
2015-01-01,03,Ensemble,1000.0,72750.0,624
2015-04-01,03,Ensemble,961.0,73750.0,706
2015-07-01,03,Ensemble,986.0,76000.0,850
2015-10-01,03,Ensemble,944.0,73000.0,889
2016-01-01,03,Ensemble,968.0,70000.0,701
2016-04-01,03,Ensemble,957.0,70000.0,761
2016-07-01,03,Ensemble,978.0,75000.0,896
2016-10-01,03,Ensemble,969.0,72000.0,803
2017-01-01,03,Ensemble,988.0,79600.0,761
2017-04-01,03,Ensemble,949.0,76250.0,846
2017-07-01,03,Ensemble,1020.0,73900.0,895
2017-10-01,03,Ensemble,970.0,70000.0,877
2018-01-01,03,Ensemble,975.0,75000.0,723
2018-04-01,03,Ensemble,962.0,74500.0,855
2018-07-01,03,Ensemble,989.0,75000.0,788
2018-10-01,03,Ensemble,1071.0,82000.0,282
2019-01-01,03,Ensemble,979.0,71000.0,828
2019-04-01,03,Ensemble,1000.0,74900.0,897
2019-07-01,03,Ensemble,1034.0,75000.0,973
2019-10-01,03,Ensemble,1049.0,75250.0,1004
2020-01-01,03,Ensemble,1024.0,77000.0,796
2020-04-01,03,Ensemble,1000.0,75000.0,837
2020-07-01,03,Ensemble,1031.0,78000.0,1028
2020-10-01,03,Ensemble,1047.0,78000.0,1312
2021-01-01,03,Ensemble,1000.0,73000.0,1054
2021-04-01,03,Ensemble,1026.0,78000.0,1241
2021-07-01,03,Ensemble,1106.0,81500.0,1280
2021-10-01,03,Ensemble,1123.0,80675.0,1264
2022-01-01,03,Ensemble,1111.0,78000.0,1039
2022-04-01,03,Ensemble,1103.0,80650.0,1198
2022-07-01,03,Ensemble,1195.0,88750.0,1212
2022-10-01,03,Ensemble,1192.0,86336.0,1180
2023-01-01,03,Ensemble,1090.0,80000.0,958
2023-04-01,03,Ensemble,1154.0,80000.0,998
2023-07-01,03,Ensemble,1185.0,85500.0,955
2023-10-01,03,Ensemble,1154.0,80000.0,1015
2024-01-01,03,Ensemble,1097.0,78000.0,769
2024-04-01,03,Ensemble,1145.0,75050.0,874
2024-07-01,03,Ensemble,1165.0,86000.0,970
2024-10-01,03,Ensemble,1180.0,83375.0,984
2025-01-01,03,Ensemble,1202.0,86000.0,817
2025-04-01,03,Ensemble,1161.0,85000.0,962
2025-07-01,03,Ensemble,1229.0,93000.0,997
2025-10-01,03,Ensemble,1193.0,84000.0,1027
2014-01-01,03,Maison,1000.0,83973.0,412
2014-04-01,03,Maison,982.0,83000.0,496
2014-07-01,03,Maison,996.0,81500.0,542
2014-10-01,03,Maison,1000.0,80000.0,532
2015-01-01,03,Maison,1000.0,80000.0,454
2015-04-01,03,Maison,956.0,77400.0,517
2015-07-01,03,Maison,988.0,82000.0,627
2015-10-01,03,Maison,942.0,81540.0,674
2016-01-01,03,Maison,954.0,78000.0,506
2016-04-01,03,Maison,979.0,82750.0,542
2016-07-01,03,Maison,984.0,83500.0,666
2016-10-01,03,Maison,962.0,80000.0,603
2017-01-01,03,Maison,988.0,90000.0,550
2017-04-01,03,Maison,972.0,83000.0,607
2017-07-01,03,Maison,1042.0,85000.0,642
2017-10-01,03,Maison,1000.0,83330.0,634
2018-01-01,03,Maison,985.0,82300.0,534
2018-04-01,03,Maison,955.0,83000.0,627
2018-07-01,03,Maison,1004.0,85000.0,584
2018-10-01,03,Maison,1054.0,93000.0,204
2019-01-01,03,Maison,973.0,80000.0,583
2019-04-01,03,Maison,1000.0,86500.0,612
2019-07-01,03,Maison,1022.0,88500.0,710
2019-10-01,03,Maison,1047.0,90000.0,701
2020-01-01,03,Maison,1010.0,90000.0,512
2020-04-01,03,Maison,1000.0,90500.0,569
2020-07-01,03,Maison,1021.0,89605.0,760
2020-10-01,03,Maison,1023.0,87000.0,935
2021-01-01,03,Maison,972.0,82000.0,732
2021-04-01,03,Maison,1010.0,92500.0,858
2021-07-01,03,Maison,1068.0,95000.0,945
2021-10-01,03,Maison,1095.0,90000.0,892
2022-01-01,03,Maison,1082.0,87475.0,720
2022-04-01,03,Maison,1049.0,90000.0,837
2022-07-01,03,Maison,1172.0,102000.0,863
2022-10-01,03,Maison,1128.0,100000.0,818
2023-01-01,03,Maison,1021.0,86450.0,656
2023-04-01,03,Maison,1088.0,90000.0,686
2023-07-01,03,Maison,1162.0,100000.0,658
2023-10-01,03,Maison,1072.0,90000.0,698
2024-01-01,03,Maison,1069.0,88000.0,525
2024-04-01,03,Maison,1118.0,92125.0,564
2024-07-01,03,Maison,1125.0,99700.0,686
2024-10-01,03,Maison,1137.0,97370.0,692
2025-01-01,03,Maison,1176.0,100000.0,534
2025-04-01,03,Maison,1143.0,97950.0,652
2025-07-01,03,Maison,1206.0,107000.0,682
2025-10-01,03,Maison,1160.0,98000.0,735
2014-01-01,04,Appartement,1759.0,75500.0,170
2014-04-01,04,Appartement,1710.0,70000.0,155
2014-07-01,04,Appartement,1780.0,73500.0,183
2014-10-01,04,Appartement,1765.0,65000.0,195
2015-01-01,04,Appartement,1742.0,71750.0,154
2015-04-01,04,Appartement,1647.0,70000.0,173
2015-07-01,04,Appartement,1630.0,75000.0,183
2015-10-01,04,Appartement,1681.0,68500.0,191
2016-01-01,04,Appartement,1744.0,64000.0,156
2016-04-01,04,Appartement,1759.0,65570.0,243
2016-07-01,04,Appartement,1705.0,70860.0,206
2016-10-01,04,Appartement,1742.0,65000.0,217
2017-01-01,04,Appartement,1711.0,71625.0,216
2017-04-01,04,Appartement,1667.0,74625.0,260
