Department,Millesime,Population,Pop65Plus,ResidencesPrincipales,RPProprietaires,RPMaisons,Logements,LogementsVacants,PopUnAnPlus,ArriveesHorsDep,Actifs1564,Chomeurs1564,RPProprietaires65Plus,RPTotalAge,NiveauVieMedian,TauxPauvrete,PartProprietaires,PartMaisons,TauxVacance,Part65Plus,TauxArrivee,TauxChomage,PartRP65Plus,SoldeMigratoire
32,2017,191091,51483,88060,60744,73154,110358,11817,189456,7278,83248,9214,,,,,68.9802,83.0729,10.7079,26.9416,3.84153,11.0681,,0.542183
32,2023,192645,56457,92103,63762,76303,114137,11353,191202,7287,83394,7661,28090,92103,24770,16,69.229,82.8453,9.94682,29.3062,3.81115,9.18651,30.4985,0.701847
33,2012,1483712,254096,668173,371425,426290,784118,49983,1466773,53958,706195,87265,,,,,55.5881,63.7993,6.37442,17.1257,3.67869,12.3571,,0.764611
33,2017,1583384,297480,727304,398083,452110,856616,53618,1566724,57915,753055,100977,,,,,54.7341,62.1625,6.25928,18.7876,3.69657,13.409,,1.04299
33,2023,1690493,341415,800830,440419,480493,944356,56681,1673942,52585,826467,86422,162899,800830,26820,14,54.9953,59.9994,6.00208,20.1962,3.14139,10.4568,20.3413,0.947307
34,2012,1077627,204453,487851,266509,262471,660752,48409,1065101,47341,475930,79545,,,,,54.6292,53.8015,7.32635,18.9725,4.44474,16.7136,,1.04044
34,2017,1144892,240785,533184,284185,277595,718743,53034,1132663,44906,503211,87665,,,,,53.2996,52.0636,7.37872,21.0312,3.96464,17.4211,,0.973138
34,2023,1230289,279648,594771,315196,299297,782278,52668,1218846,45147,551752,79775,132654,594771,24280,21,52.9945,50.3214,6.73264,22.7303,3.70408,14.4585,22.3034,1.1448
35,2012,1007901,159117,439345,263316,270165,506257,33694,994862,42531,479846,47325,,,,,59.9338,61.4927,6.65551,15.787,4.27507,9.86254,,0.624473
35,2017,1060199,185850,471034,281694,286407,546440,37793,1048115,40283,500866,53868,,,,,59.8033,60.8039,6.91622,17.5297,3.84338,10.755,,0.604127
35,2023,1120666,211490,513565,306313,305506,592053,35783,1109410,39724,544942,48180,105452,513565,26670,12,59.6444,59.4873,6.04388,18.8718,3.58064,8.84131,20.5333,0.69531
36,2012,228692,55609,106042,71463,86930,136111,16030,226582,6687,99853,11945,,,,,67.3912,81.977,11.7772,24.3161,2.95125,11.9626,,-0.106186
36,2017,222232,60367,105772,72065,87477,138634,18386,220350,6122,94476,12268,,,,,68.1324,82.7034,13.2623,27.164,2.77831,12.9853,,-0.106606
36,2023,216069,64183,106494,72948,88132,139329,17884,214372,6101,91232,9941,33242,106494,24020,16,68.4996,82.7577,12.8358,29.7049,2.84599,10.8964,31.2149,0.197541
37,2012,596937,113090,269259,158517,171284,305157,22441,590028,22230,277075,32162,,,,,58.8716,63.6131,7.35392,18.945,3.76762,11.6077,,0.241268
37,2017,606511,127685,279367,165088,177496,321881,27754,600043,20782,278035,35678,,,,,59.0936,63.5351,8.62244,21.0524,3.46342,12.8322,,0.11884
37,2023,619362,141608,295031,172993,184340,339764,28779,613652,18835,287899,30109,68641,295031,25930,14,58.6355,62.4816,8.47029,22.8635,3.06933,10.4582,23.2657,0.338741
38,2012,1224993,195013,515572,313649,264960,608400,41261,1208737,41801,584061,64056,,,,,60.8352,51.3915,6.78189,15.9195,3.45824,10.9673,,0.261811
38,2017,1258722,225193,543261,331838,279882,646707,49173,1244027,38626,594087,68259,,,,,61.0826,51.5189,7.6036,17.8906,3.10492,11.4897,,0.0167021
38,2023,1298990,254200,580337,354792,297067,688508,52268,1285753,37934,623382,57480,123956,580337,27290,13,61.1355,51.1887,7.59149,19.569,2.95033,9.22067,21.3593,0.242164
39,2012,260932,52593,116417,75389,76758,144747,13246,257916,8176,119398,12515,,,,,64.7577,65.9337,9.15114,20.1558,3.17002,10.4818,,0.0509083
39,2017,260188,59590,119104,78341,79702,149350,14947,257572,7793,117413,12472,,,,,65.7753,66.918,10.008,22.9027,3.02556,10.6223,,-0.0425398
39,2023,257973,64928,122879,81623,82641,153586,14471,255860,7448,117607,9741,32711,122879,26090,12,66.4255,67.254,9.42208,25.1685,2.91097,8.28267,26.6205,0.0973655
40,2012,392884,84528,173432,112942,135635,238981,15848,388766,18171,177336,21845,,,,,65.1218,78.2064,6.63149,21.5147,4.67402,12.3184,,1.38354
40,2017,407444,99538,186013,121966,145330,255992,17397,403847,16550,181180,24851,,,,,65.5685,78.1289,6.79592,24.4299,4.09809,13.7162,,0.866617
40,2023,433570,115865,205741,136735,157507,279035,17017,430194,16976,194878,20590,57360,205741,25650,12,66.4598,76.556,6.09852,26.7235,3.94613,10.5656,27.8797,1.38616
41,2012,331656,72283,146867,100146,117556,178481,17155,327910,10639,148773,17531,,,,,68.1882,80.0425,9.61167,21.7946,3.24449,11.7837,,0.267736
41,2017,331915,79676,149623,102059,120653,183643,19548,328662,9580,146202,17873,,,,,68.2108,80.638,10.6446,24.0049,2.91485,12.2249,,0.0715199
41,2023,328543,86528,153224,104987,123557,188500,19570,325623,9373,144834,14851,44475,153224,25240,14,68.5186,80.6382,10.382,26.3369,2.87848,10.2538,29.0261,0.136129
42,2012,753763,149852,329213,192487,167693,381976,35654,744206,18138,333061,42557,,,,,58.4688,50.9375,9.33409,19.8805,2.43723,12.7775,,0.109928
42,2017,762941,166688,339403,198929,176055,396655,40764,754124,19038,332204,44582,,,,,58.6114,51.872,10.2769,21.8481,2.52452,13.4201,,0.0254722
42,2023,774133,180198,354644,208201,184350,410557,39673,766374,20349,342232,38652,80187,354644,24800,17,58.707,51.9817,9.66321,23.2774,2.65523,11.2941,22.6106,0.227278
